Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d29ee87c-0506-4045-9a89-b3bb1311bcf0,2017-01-08 10:45:28,Running,,14.57,2:39:49,10:58,5.47,1002.0,164,143,"","TomTom MySports Watch",2017-01-08-104528.gpx
65756532-e38e-4c75-9c20-849940a3d355,2017-01-01 10:39:24,Running,,12.77,1:44:15,8:10,7.35,770.0,156,,"","",2017-01-01-103924.gpx
89066564-3873-4b92-b2dc-af0cad1ddf43,2017-01-01 10:38:36,Running,,12.02,1:44:37,8:42,6.89,828.0,213,131,"","TomTom MySports Watch",2017-01-01-103836.gpx
3cdf5fab-36cc-4334-8578-22043131fc08,2016-12-26 11:10:07,Running,,21.91,1:47:13,4:54,12.26,805.0,191,162,"","TomTom MySports Watch",2016-12-26-111007.gpx
12a1cfae-3eba-4174-a365-6a9aedd9e444,2016-12-22 07:30:30,Running,,4.50,47:10,10:28,5.73,289.0,0,128,"","TomTom MySports Watch",
e020c9b3-6fe4-4cd4-9c68-6ce5713874e8,2016-12-17 09:44:21,Running,,9.01,1:14:57,8:19,7.21,541.0,2,,"","",2016-12-17-094421.gpx
c95e5698-b2c0-4544-9707-2188ab329236,2016-11-26 09:47:51,Running,,6.48,49:28,7:38,7.87,397.0,34,,"","",2016-11-26-094751.gpx
de7d52ef-2693-48bd-95e8-fdafbcfb850f,2016-11-12 10:08:42,Running,,10.37,1:19:16,7:39,7.85,638.0,56,,"","",2016-11-12-100842.gpx
ca9b3c6f-e47c-4321-8ea5-aaea65a1f1b7,2016-10-16 08:48:07,Running,,3.17,29:56,9:27,6.35,202.0,108,,"","",2016-10-16-084807.gpx
7887523f-66a1-441d-83a3-5fb25b89cf71,2016-10-15 09:22:17,Running,,6.39,1:07:33,10:34,5.67,412.0,224,,"","",2016-10-15-092217.gpx
0e24e79a-bdd8-4587-a081-d6d52398b9ed,2016-10-14 07:55:41,Running,,6.18,58:43,9:30,6.31,386.0,214,,"","",2016-10-14-075541.gpx
4dd3efd6-c041-479a-b828-99b88c10282d,2016-10-02 09:10:25,Running,,6.26,50:40,8:05,7.42,381.0,60,,"","",2016-10-02-091025.gpx
bd783af0-a021-42a6-8883-b203278de3c7,2016-09-24 09:30:49,Running,,14.19,2:01:44,8:35,7.00,850.0,116,,"","",2016-09-24-093049.gpx
0c38deae-765a-48a9-a5ec-8180bac0adfa,2016-09-18 12:27:41,Running,,16.49,2:05:12,7:35,7.90,1018.0,85,,"","",2016-09-18-122741.gpx
fd176c3f-f17b-4d4b-9a24-fa82c277905b,2016-09-10 09:41:26,Running,,10.01,1:23:32,8:21,7.19,610.0,71,,"","",2016-09-10-094126.gpx
88693f53-0278-4aa1-a888-1bfc14e6312f,2016-09-03 08:33:40,Running,,18.01,2:27:41,8:12,7.32,1074.0,104,,"","",2016-09-03-083340.gpx
a9de85e3-1ad3-4324-b90b-df0e482c8d67,2016-08-28 07:07:54,Running,,10.05,1:23:42,8:20,7.20,600.0,106,,"","",2016-08-28-070754.gpx
0175ebad-d160-4f83-9aca-d51ab77f175b,2016-08-21 10:20:56,Running,,17.08,2:33:57,9:01,6.66,1046.0,148,,"","",2016-08-21-102056.gpx
1d422836-0e6d-43f5-9a54-f6731eb2af77,2016-08-13 09:51:49,Running,,14.89,2:01:15,8:09,7.37,922.0,99,,"","16K",2016-08-13-095149.gpx
8e069a98-7fa2-4235-b048-ea27e03a8539,2016-07-24 07:05:00,Running,,9.13,1:50:54,12:09,4.94,558.0,49,,"","",2016-07-24-070500.gpx
097e1f1d-6693-4265-bf51-70d8fbae6091,2016-07-02 08:24:34,Running,,12.09,1:37:14,8:03,7.46,755.0,74,,"","",2016-07-02-082434.gpx
b6017878-5ecc-48a0-93ce-c8943d549589,2016-06-18 09:42:31,Running,,9.12,1:09:28,7:37,7.88,583.0,64,,"","",2016-06-18-094231.gpx
dca65784-b574-4017-8951-0e3b8d75f465,2016-06-16 05:59:02,Running,,4.11,31:03,7:33,7.95,258.0,20,,"","",2016-06-16-055902.gpx
8be21623-3718-45f1-8e78-c200ac03b630,2016-06-11 09:42:19,Running,,11.44,1:25:19,7:27,8.05,722.0,62,,"","",2016-06-11-094219.gpx
1008c018-5fcb-4105-9967-0dce3b2d6ce4,2016-06-04 08:25:52,Running,,10.03,1:23:00,8:16,7.25,623.0,99,,"","",2016-06-04-082552.gpx
7f42daab-662b-4143-b7c7-56c622a2161b,2016-05-28 09:39:56,Running,,8.35,1:04:44,7:45,7.74,529.0,45,,"","",2016-05-28-093956.gpx
988dce8d-8db7-448c-af04-14a246bd544e,2016-05-28 09:37:42,Running,,0.00,0:00,,,0.0,0,,"","",2016-05-28-093742.gpx
ab4c9d1f-8d5d-403a-ad35-66d27185a3b2,2016-05-22 11:30:10,Running,,10.00,1:14:16,7:26,8.08,633.0,52,,"","",2016-05-22-113010.gpx
2f913872-3a6c-40d8-8357-c2cdbf06d27f,2016-05-16 11:21:36,Running,,5.13,40:38,7:55,7.57,319.0,39,,"","",2016-05-16-112136.gpx
38e4fcb5-7aab-44cd-bc8d-6792e21f7b97,2016-05-01 10:50:45,Running,,10.01,1:29:53,8:59,6.68,554.0,99,,"","",2016-05-01-105045.gpx
