,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk
103.25,-0.17263157894736847,-0.9926315789473684,-0.00736842105263158,0.020000000000000004,-0.028421052631578948,0.0,0.004736842105263159,-0.06421052631578948,-0.018421052631578953,1008.7299999999999,-13.632631578947368,53.16315789473684,-25.983157894736845,119.73526315789472,99.58421052631579,-9.580000000000002,78.33999999999999,0,0,0,1,0
103.30000000000001,-0.18,-1.0,0.0,0.02,-0.02,0.0,-0.09,-0.08,-0.011111111111111112,1008.73,-13.68,53.4,-26.22,119.68666666666667,99.58,-9.58,79.13333333333333,0,0,0,1,0
103.35000000000001,-0.1715384615384615,-1.0,0.0,0.01307692307692308,0.007692307692307693,0.0,-0.04692307692307692,-0.07999999999999999,-0.01153846153846154,1008.7299999999998,-14.049230769230768,52.52307692307692,-26.081538461538464,119.68923076923079,99.58461538461538,-9.584615384615386,79.36,0,0,0,1,0
103.4,-0.16285714285714284,-1.0,0.0,0.004285714285714286,0.01428571428571429,0.0,0.015714285714285715,-0.09285714285714287,-0.018571428571428572,1008.7278571428569,-14.044285714285712,52.80000000000001,-25.84714285714286,119.71357142857143,99.58142857142856,-9.578571428571427,79.36,0,0,0,1,0
103.45,-0.16538461538461538,-0.9946153846153847,0.0,0.0,0.0023076923076923075,-0.0038461538461538464,0.029230769230769234,-0.09846153846153848,-0.018461538461538463,1008.7199999999998,-13.786153846153846,53.10000000000001,-26.1276923076923,119.74,99.5630769230769,-9.563076923076924,79.36,0,0,0,1,0
103.5,-0.17,-0.9937499999999999,0.0,0.004375,-0.005625,-0.01,-0.04375,-0.060000000000000005,0.018125,1008.72,-13.59,52.95,-26.159999999999997,119.75,99.5475,-9.5475,79.36,0,0,0,1,0
103.55000000000001,-0.17,-1.0,0.0,0.01,0.0,-0.01,-0.06,-0.1,0.03,1008.72,-13.62,52.8,-25.74,119.765,99.5325,-9.532499999999999,79.36,0,0,0,1,0
103.60000000000001,-0.16999999999999998,-0.9900000000000001,0.0,0.0014285714285714286,0.0,-0.009999999999999998,-0.07428571428571427,-0.06428571428571431,-0.005714285714285715,1008.7199999999997,-13.78714285714286,52.29857142857143,-26.185714285714287,119.74571428571429,99.54499999999999,-9.545,79.99500000000002,0,0,0,1,0
103.65,-0.16999999999999998,-0.9900000000000001,0.0,0.006923076923076922,-0.006923076923076922,-0.009999999999999998,-0.05153846153846155,-0.05000000000000001,0.012307692307692308,1008.7199999999998,-13.338461538461537,52.7676923076923,-25.57384615384615,119.72153846153847,99.55076923076922,-9.546923076923076,80.63000000000001,0,0,0,1,0
103.7,-0.16999999999999998,-0.9900000000000001,0.0,0.004285714285714286,-0.004285714285714286,-0.015714285714285712,-0.03000000000000001,-0.05000000000000001,0.022857142857142857,1008.7178571428568,-13.045714285714288,53.267142857142865,-25.611428571428576,119.76499999999999,99.51642857142858,-9.516428571428573,80.63000000000001,0,0,0,1,0
103.75,-0.15799999999999997,-0.996,-0.006,0.0,-0.014,-0.015333333333333338,0.013333333333333332,-0.06933333333333333,-0.02,1008.7099999999996,-13.440000000000005,53.49199999999999,-25.58,119.82999999999996,99.47733333333333,-9.476,80.63000000000002,0,0,0,1,0
103.80000000000001,-0.15199999999999997,-1.0,-0.008,0.0,-0.036,-0.009999999999999998,0.093,-0.1,-0.06000000000000001,1008.7109999999999,-13.788,53.424,-25.224,119.88000000000002,99.42999999999999,-9.428,80.63,0,0,0,1,0
103.85000000000001,-0.15999999999999998,-1.0,0.0,0.0,-0.05000000000000001,-0.009999999999999998,0.005,-0.09083333333333332,-0.01416666666666667,1008.7199999999998,-13.680000000000001,53.279999999999994,-24.899999999999995,119.945,80.615,-9.385000000000002,80.63,0,0,0,1,0
103.9,-0.16857142857142857,-0.9914285714285714,0.0,-0.009285714285714284,-0.02214285714285714,-0.009999999999999998,-0.049999999999999996,-0.0785714285714286,0.0071428571428571435,1008.7178571428568,-12.539999999999996,52.559999999999995,-28.199999999999996,120.05857142857141,89.99071428571429,-9.340714285714284,81.27,0,0,0,1,0
103.95,-0.16142857142857142,-0.9900000000000001,0.008571428571428568,-0.009999999999999998,-0.005714285714285714,-0.009999999999999998,-0.04,-0.06285714285714288,0.04142857142857143,1008.7099999999997,-13.011428571428569,52.607142857142854,-27.351428571428574,120.22357142857142,99.30785714285712,-9.307857142857141,81.91,0,0,0,1,0
104.0,-0.16,-0.9900000000000001,0.002,-0.01,0.006666666666666666,-0.016666666666666663,-0.024000000000000007,-0.06066666666666669,0.03866666666666667,1008.713333333333,-12.831999999999999,52.79600000000001,-27.911999999999995,120.40000000000002,99.26866666666666,-9.268666666666668,81.91000000000001,0,0,0,1,0
104.05000000000001,-0.1533333333333333,-0.9900000000000001,0.0,2.8912057932946783e-19,-2.8912057932946783e-19,-0.015000000000000005,0.0008333333333333318,-0.043333333333333335,0.01666666666666667,1008.7199999999998,-13.174999999999999,52.964999999999996,-27.5,120.52416666666666,97.70083333333334,-9.239166666666668,81.90999999999998,0,0,0,1,0
104.10000000000001,-0.1518181818181818,-0.9918181818181818,0.0,0.009999999999999998,-0.009999999999999998,-0.009999999999999998,0.07181818181818184,0.009999999999999998,0.009999999999999998,1008.720909090909,-13.805454545454547,53.06181818181819,-26.34545454545454,120.59909090909088,80.79181818181816,-9.208181818181819,81.90999999999998,0,0,0,1,0
104.15,-0.15999999999999998,-1.0,0.0,0.009999999999999998,-0.009999999999999998,-0.009999999999999998,-0.010833333333333334,-0.09083333333333334,-0.03416666666666666,1008.7299999999999,-14.340000000000002,53.1,-25.2,120.70833333333333,80.83333333333334,-9.166666666666668,81.90999999999998,0,0,0,1,0
104.2,-0.15999999999999998,-0.9900000000000001,0.0,0.0014285714285714286,-0.009999999999999998,-0.009999999999999998,-0.02571428571428572,-0.06428571428571431,-0.018571428571428576,1008.7299999999998,-13.782857142857145,52.98857142857143,-25.92428571428572,120.80571428571425,80.86785714285715,-9.132142857142858,82.00285714285714,0,0,0,1,0
104.25,-0.16,-0.9973333333333334,0.0,0.0,-0.002,-0.01,-0.02533333333333334,-0.06866666666666665,-0.0006666666666666664,1008.7299999999998,-14.364000000000004,53.08400000000001,-25.668000000000003,120.90400000000002,80.90066666666668,-9.098,82.17,0,0,0,1,0
104.30000000000001,-0.15166666666666664,-1.0,0.0,0.0,0.0,-0.0033333333333333335,0.01,-0.08499999999999998,-2.8912057932946783e-19,1008.7299999999999,-14.01,53.14499999999999,-25.710000000000004,120.99916666666667,80.9241666666667,-9.07583333333333,82.16999999999999,0,0,0,1,0
104.35000000000001,-0.14999999999999997,-1.0,0.0,0.0,-0.004285714285714286,0.0,0.039999999999999994,-0.08500000000000003,-0.024999999999999998,1008.7299999999998,-13.65,52.85999999999998,-25.740000000000002,121.07928571428567,80.94071428571431,-9.058571428571428,82.16999999999999,0,0,0,1,0
104.4,-0.14999999999999997,-1.0,0.0,-0.0038461538461538464,-0.009999999999999998,-0.0038461538461538464,0.03923076923076922,-0.11692307692307696,-0.040769230769230766,1008.7276923076921,-13.689230769230768,52.47692307692308,-25.933846153846158,121.13615384615387,80.97461538461539,-9.024615384615384,82.16999999999999,0,0,0,1,0
104.45,-0.14999999999999997,-1.0,0.0,-0.009999999999999998,-0.009999999999999998,-0.009999999999999998,0.023,-0.07500000000000002,-0.043,1008.7199999999999,-13.98,52.38000000000001,-26.160000000000004,121.22,81.02,-8.98,82.16999999999999,0,0,0,1,0
104.5,-0.15,-1.0,0.0,-0.01,-0.01,-0.01,0.02375,-0.07750000000000001,0.005,1008.72,-14.43,52.83,-26.44125,121.310625,81.059375,-8.940625,82.45125,0,0,0,1,0
104.55000000000001,-0.15999999999999998,-0.9900000000000001,0.009999999999999998,-0.0016666666666666668,-0.009999999999999998,-0.009999999999999998,-0.011666666666666667,-0.06000000000000002,0.04,1008.7199999999998,-14.405000000000001,52.69499999999999,-25.525000000000002,121.41416666666667,81.08833333333335,-8.910000000000002,82.66999999999999,0,0,0,1,0
104.60000000000001,-0.15999999999999998,-0.9961538461538461,0.0038461538461538464,0.006923076923076922,-0.003076923076923077,-0.009999999999999998,-0.03923076923076923,-0.0623076923076923,0.031538461538461536,1008.7223076923075,-14.030769230769229,53.00307692307693,-25.71692307692308,121.52923076923076,81.11076923076924,-8.889230769230767,82.66999999999999,0,0,0,1,0
104.65,-0.15428571428571428,-1.0,0.0,0.005714285714285714,0.008571428571428572,-0.005714285714285714,-0.04,-0.09285714285714286,-0.015000000000000001,1008.7299999999998,-14.13,52.92000000000001,-25.59,121.61071428571428,81.12214285714286,-8.877857142857144,82.66999999999999,0,0,0,1,0
104.7,-0.14999999999999997,-0.9975,0.0,-0.0033333333333333335,0.01666666666666667,-0.0033333333333333335,0.0033333333333333335,-0.10000000000000002,-0.0033333333333333335,1008.7283333333331,-14.589999999999998,52.76499999999999,-25.680000000000003,121.67250000000001,81.13833333333332,-8.861666666666666,82.66999999999999,0,0,0,1,0
104.75,-0.15,-0.991875,0.001875,-0.0075,0.0075,-0.01,0.02125,0.00875,0.00875,1008.72,-14.415,52.95,-25.8,121.75187500000001,81.17625000000001,-8.82375,82.67,0,0,0,1,0
104.80000000000001,-0.15,-1.0,0.01,0.0,0.0,-0.01,0.0022222222222222222,-0.05,0.04555555555555555,1008.7199999999999,-13.26,53.28,-25.14,121.82555555555557,81.2,-8.8,82.44444444444444,0,0,0,1,0
