,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,cluster
<<<<<<< Updated upstream
1970-01-01 00:00:00.000000067,0.0819178082192,-1.71315068493,-0.547945205479,0.950273972603,-0.150547945205,0.207671232877,1.1601369863,-9.37150684932,-2.17397260274,1008.64315068,10.3290410959,5.88,28.3882191781,335.042054795,111.989178082,-0.412465753425,92.2815068493,0,1,0,0,0,4
1970-01-01 00:00:00.000000067,-0.0254166666667,-0.0297222222222,-0.102083333333,-0.339166666667,-0.06375,-0.0486111111111,0.190972222222,9.21527777778,1.99708333333,1008.82222222,9.93583333333,12.6333333333,28.6191666667,329.561805556,106.7625,-2.12944444444,90.7325,0,1,0,0,0,2
1970-01-01 00:00:00.000000068,-0.100405405405,-2.12702702703,-0.659054054054,-0.055,0.158918918919,-0.0839189189189,-0.650540540541,-11.2113513514,-2.2322972973,1008.70716216,9.79054054054,5.6927027027,31.3459459459,335.321621622,114.852567568,0.148918918919,87.6754054054,0,1,0,0,0,4
1970-01-01 00:00:00.000000068,0.0138157894737,-0.0773684210526,-0.0753947368421,0.0488157894737,-0.212894736842,0.0103947368421,0.316973684211,8.01263157895,1.91381578947,1008.78460526,9.73421052632,12.2936842105,29.0613157895,331.436184211,106.932368421,-1.74710526316,86.3842105263,0,1,0,0,0,2
1970-01-01 00:00:00.000000068,-0.0120547945205,-1.59589041096,-0.576301369863,-0.84904109589,-0.279315068493,-0.271780821918,-0.465479452055,-4.60575342466,-1.25342465753,1008.76630137,10.0824657534,7.19589041096,29.9778082192,335.607945205,115.456438356,0.750136986301,83.81,0,1,0,0,0,4
1970-01-01 00:00:00.000000068,0.0195833333333,-0.673888888889,-0.2675,0.768611111111,-0.334027777778,0.170833333333,0.654444444444,0.824861111111,0.19875,1008.71666667,11.1958333333,9.11583333333,28.2883333333,330.192361111,109.330972222,-1.38486111111,86.89,0,1,0,0,0,2
1970-01-01 00:00:00.000000069,-0.016301369863,-0.99698630137,-0.274520547945,-0.608493150685,-0.225342465753,0.0290410958904,-0.156438356164,2.11287671233,1.41753424658,1008.74671233,13.3709589041,10.5098630137,27.1347945205,324.566986301,110.514657534,-2.7504109589,88.1969863014,0,1,0,0,0,3
1970-01-01 00:00:00.000000069,0.0218055555556,-0.75875,-0.132361111111,0.481805555556,-1.35958333333,0.271944444444,1.78097222222,-0.986666666667,0.988194444444,1008.69,16.19,7.8575,26.66,308.694861111,109.139166667,-8.17194444444,90.5927777778,0,1,0,0,0,0
1970-01-01 00:00:00.000000069,-0.0543661971831,-1.18295774648,0.242535211268,1.5138028169,-0.745915492958,-0.11676056338,0.752253521127,-0.580845070423,1.55746478873,1008.67647887,25.6208450704,11.1633802817,14.2546478873,280.763380282,90.333943662,-11.4838028169,92.6909859155,0,1,0,0,0,5
1970-01-01 00:00:00.000000069,0.0315384615385,-1.74653846154,-0.506282051282,-1.18807692308,0.0447435897436,-0.332051282051,1.30512820513,-6.75217948718,-5.46217948718,1008.8,29.2169230769,12.1653846154,5.25384615385,279.382051282,79.5434615385,-12.3171794872,93.0587179487,0,1,0,0,0,4
1970-01-01 00:00:00.000000070,-0.0885135135135,-0.218513513514,0.0795945945946,-1.42851351351,-0.225135135135,-0.0851351351351,0.750945945946,2.82864864865,5.17472972973,1008.79378378,22.9654054054,18.5245945946,8.82324324324,252.206081081,132.179189189,-14.647027027,89.81,0,0,1,0,0,2
1970-01-01 00:00:00.000000070,0.590972222222,-1.69902777778,-0.483888888889,3.57666666667,0.914861111111,1.51555555556,6.61097222222,-6.595,-4.29458333333,1008.92527778,12.8158333333,21.475,-2.83583333333,272.615694444,81.1193055556,-11.3366666667,97.4275,0,0,1,0,0,4
1970-01-01 00:00:00.000000070,-0.142602739726,-1.77808219178,0.0957534246575,-6.09767123288,-2.33301369863,-1.41630136986,1.81863013699,-14.1202739726,3.09150684932,1008.84479452,7.54273972603,29.3605479452,-13.1917808219,252.482739726,109.287808219,-8.5697260274,97.2187671233,0,0,1,0,0,5
