,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk
368.0,-0.13133333333333333,-0.996,-0.024666666666666674,0.006000000000000002,0.09099999999999998,-0.006666666666666669,0.06000000000000002,-0.04166666666666667,-0.004666666666666666,1014.0766666666669,-3.2,33.86999999999999,15.658000000000007,13.233000000000002,97.94300000000003,-7.828333333333336,78.01000000000003,0,0,1,0
368.25,-0.13233333333333333,-0.9966666666666667,-0.023333333333333338,0.006333333333333335,0.04600000000000001,-0.003,0.009000000000000001,-0.04233333333333334,0.016999999999999998,1014.0823333333336,-3.939999999999999,33.724,15.0,15.480666666666666,97.779,-7.636333333333335,78.71533333333332,0,0,1,0
368.5,-0.1329032258064516,-0.9954838709677418,-0.028387096774193554,0.002903225806451613,0.024838709677419354,0.001935483870967742,0.010967741935483869,-0.03258064516129032,-0.043225806451612905,1014.0764516129036,-3.7993548387096765,33.68129032258065,15.520645161290314,15.367096774193548,97.76838709677423,-7.626129032258062,78.71322580645165,0,0,1,0
368.75,-0.13266666666666665,-0.9949999999999998,-0.025333333333333336,0.0003333333333333333,-0.0023333333333333335,0.007333333333333335,-0.0023333333333333344,-0.037333333333333336,-0.03133333333333333,1014.085333333333,-4.118,34.15599999999999,15.657999999999992,15.636000000000001,97.79000000000002,-7.653999999999999,79.66500000000002,0,0,1,0
369.0,-0.13500000000000004,-0.9976666666666667,-0.02433333333333334,0.007666666666666666,-0.0006666666666666665,0.010000000000000002,0.020999999999999998,-0.06000000000000001,0.020666666666666663,1014.0963333333333,-3.978,33.967999999999996,15.410000000000002,15.194333333333331,97.85133333333333,-7.739999999999998,80.69866666666668,0,0,1,0
369.25,-0.14129032258064522,-0.9951612903225806,-0.01774193548387097,0.00935483870967742,0.026129032258064525,0.012580645161290325,-0.026774193548387105,-0.04322580645161291,0.04000000000000001,1014.0848387096778,-3.7103225806451623,34.09741935483871,15.634838709677416,14.96096774193548,97.99129032258068,-7.892258064516128,80.30000000000003,0,0,1,0
369.5,-0.1426666666666667,-0.999,-0.018000000000000006,0.003999999999999998,0.031000000000000007,0.012666666666666668,-0.022666666666666665,-0.06400000000000002,0.009333333333333334,1014.0800000000004,-3.65,34.17200000000001,14.664000000000003,15.28466666666667,98.211,-8.135333333333334,79.57000000000001,0,0,1,0
369.75,-0.14580645161290326,-0.9919354838709675,-0.02322580645161291,-0.0006451612903225806,0.01806451612903226,0.007741935483870968,-0.016451612903225808,-0.02774193548387097,-0.028387096774193554,1014.0883870967742,-4.333548387096773,34.13225806451613,15.52451612903225,15.69451612903226,98.36677419354834,-8.277419354838708,79.57741935483868,0,0,1,0
370.0,-0.14966666666666667,-0.9959999999999998,-0.023000000000000007,-0.007333333333333333,0.010000000000000002,0.0,-0.03366666666666667,-0.04700000000000001,-0.001999999999999998,1014.09,-3.608,34.144,14.953999999999999,16.223666666666666,98.43766666666667,-8.332,79.10999999999999,0,0,1,0
370.25,-0.14766666666666667,-0.9943333333333332,-0.02500000000000001,0.0,-0.0016666666666666668,-0.009666666666666667,-0.009333333333333332,-0.038000000000000006,-0.006666666666666667,1014.09,-4.022000000000001,33.88800000000001,14.885999999999997,16.535666666666664,98.42966666666669,-8.318999999999999,78.18999999999997,0,0,1,0
370.5,-0.1438709677419355,-0.9958064516129033,-0.024838709677419364,-0.001290322580645162,-0.018387096774193545,-0.01419354838709678,0.006774193548387098,-0.038064516129032264,-0.04225806451612903,1014.0890322580647,-3.7703225806451623,33.77032258064516,15.466451612903233,16.5141935483871,98.29741935483871,-8.19258064516129,78.13999999999999,0,0,1,0
370.75,-0.1413333333333333,-0.9926666666666665,-0.018333333333333337,-0.0013333333333333337,0.07233333333333335,-0.013000000000000001,-0.03633333333333332,-0.035333333333333335,0.07266666666666664,1014.0876666666668,-3.9040000000000004,33.96200000000001,15.050000000000002,16.903000000000002,98.18633333333332,-8.062333333333333,79.28999999999999,0,0,1,0
371.0,-0.1332258064516129,-0.9958064516129033,-0.02806451612903226,0.010000000000000002,0.05161290322580645,-0.007741935483870968,0.02709677419354839,-0.035161290322580654,-0.017741935483870968,1014.0896774193549,-4.469032258064517,33.89806451612905,15.288387096774194,17.136451612903226,97.97387096774193,-7.8506451612903225,78.84999999999998,0,0,1,0
371.25,-0.13033333333333333,-0.9986666666666666,-0.029333333333333336,0.003333333333333333,0.008666666666666666,0.0,0.033666666666666664,-0.04933333333333335,-0.04966666666666668,1014.086,-5.046000000000002,34.045999999999985,15.306000000000003,16.890333333333334,97.8446666666667,-7.717999999999999,78.52033333333334,0,0,1,0
371.5,-0.14100000000000004,-0.9946666666666665,-0.028333333333333335,0.008666666666666666,-0.013999999999999995,0.008333333333333333,-0.022666666666666665,-0.03933333333333333,-0.023333333333333338,1014.0866666666672,-4.800000000000001,34.05400000000001,15.186,16.572333333333336,97.85766666666669,-7.72966666666667,78.60333333333334,0,0,1,0
371.75,-0.1235483870967742,-1.0106451612903227,-0.01161290322580645,0.03645161290322581,0.05193548387096774,-0.012903225806451613,0.035806451612903224,-0.20645161290322575,0.044516129032258066,1014.0800000000005,-4.499999999999999,34.03935483870967,14.463870967741931,17.200322580645164,97.81516129032258,-7.736129032258065,81.53935483870966,0,0,1,0
372.0,-0.1166666666666667,-1.0033333333333332,-0.016000000000000004,-0.06800000000000002,-0.13566666666666666,0.027333333333333334,0.18533333333333338,-0.06299999999999999,0.007000000000000005,1014.0773333333333,-3.4100000000000006,33.794000000000004,13.120000000000001,18.38133333333333,97.17999999999999,-7.112999999999998,84.03766666666667,0,0,1,0
372.25,-0.17064516129032262,-0.987741935483871,-0.0370967741935484,-0.0664516129032258,0.08225806451612906,0.013225806451612905,-0.3199999999999999,0.002580645161290324,0.016774193548387092,1014.0703225806452,-1.9625806451612895,33.08903225806451,12.294193548387092,15.50709677419355,98.32612903225811,-8.072258064516129,82.14032258064518,0,0,1,0
